ID,Unit,Passed,Equality Limit,Upper Limit,Lower Limit,Value
P12VC_1,A,True, ,13.2,10.8,11.973898
FAN_P12VA_1,A,True, ,13.2,10.8,11.972679
ABSOLUTE_ENC_SPI_MISO_PLUS_1,A,True,1, , ,1
EXT_LTE_MODEM__USB_5V_1A_1,A,True, ,5.5,4.5,4.9534191
RLAY24_1_PLUS_1,A,True, ,24.5,23.5,24.281163
ENCODER2_BCH_PLUS_1,A,True,1, , ,1
IFM_FRONT_P24VC_1,A,True, ,24.5,23.5,24.291283
STRT_PAUSE_P3V3B_1,A,True, ,3.5,3.1,3.3241621
ENCODER1_BCH_MINUS_1,A,True,0, , ,0
ABSOLUTE_ENC_SPI_MISO_MINUS_1,A,True,0, , ,0
STER_PWMA_1,A,True, ,3.6,3.0,3.3177633
RLAY12_1_PLUS_1,A,True, ,13.2,10.8,11.953454
H_LIDAR_P12VD_1,A,True, ,13.2,10.8,11.973886
ENCODER2_ACH_PLUS_1,A,True,1, , ,1
P5VK_1,A,True, ,5.5,4.5,4.9997926
RLAY24_2_PLUS_1,A,True, ,24.5,23.5,24.28036
SERVICE_1,A,True,1, , ,1
LEFT_CAM_P5VC_1,A,True, ,5.5,4.5,4.9946752
DUT_CURRENT_1,A,True, ,2.1,0.8,0.8714
P5VG_1,A,True, ,5.5,4.5,4.999564
ENCODER2_ACH_MINUS_1,A,True,0, , ,0
TRACTION_ENCODER_P5VJ_1,A,True, ,5.5,4.5,4.9997799
SLANTED_LIDAR_P12VB_1,A,True, ,13.2,10.8,11.972667
P5VE_1,A,True, ,5.5,4.5,4.9959958
IMU_GYRO_1,A,True,1, , ,True
USB_VERIFY_1,A,True, ,8.0,5.0,6
C_ANH_1,A,True, ,2.5,2.4,2.4532223
STEERING_3V_P3V3A_1,A,True, ,3.5,3.1,3.3257366
P5VF_1,A,True, ,5.5,4.5,4.9822057
RLAY24_2_MINUS_1,A,True, ,0.1,0.0,0.007966628
USB_5V_1B_1,A,True, ,5.5,4.5,4.9545366
KEY_SENSE_1,A,True,1, , ,1
ABSOLUTE_ENC_SPI_CLK_PLUS_1,A,True, ,5.1,4.8,4.9931711
P24VA_1,A,True, ,24.5,23.5,24.291796
STER_PWMB_1,A,True, ,3.6,3.0,3.31783
ESTOP1_OUT_1,A,True, ,0.1,0.0,0.00042475
MASTER_POWER_OUT_1,A,True, ,3.6,3.0,3.3180035
IFM_LEFT_P24VD_1,A,True, ,24.5,23.5,24.291668
STER_ENA_1,A,True, ,3.6,3.0,3.31779
LEFT_IFM_1,A,True,1, , ,1
STER_MTR_DIS_1,A,True, ,3.6,3.0,3.31779
ABSOLUTE_ENC_SPI_CLK_MINUS_1,A,True, ,5.1,4.8,4.9932645
STEERING_P5VH_1,A,True, ,5.5,4.5,4.9995005
FRONT_IFM_1,A,True,1, , ,1
SWITCH_1,A,True,1, , ,1
C_ANL_1,A,True, ,2.5,2.4,2.4531956
RLAY24_1_MINUS_1,A,True, ,0.1,0.0,0.007821049
ENCODER1_ACH_PLUS_1,A,True,1, , ,1
_4_20MA_IN_1_1,A,True, ,0.7,0.0,0.6
ENCODER2_BCH_MINUS_1,A,True,0, , ,0
_4_20MA_IN_2_1,A,True, ,0.7,0.0,0.0
ENCODER1_ACH_MINUS_1,A,True,0, , ,0
RLAY12_2_MINUS_1,A,True, ,0.1,0.0,0.007204369
IFM_RIGHT_P24VB_1,A,True, ,24.5,23.5,24.290513
DUT_VOLTAGE_1,A,True, ,20.1,19.9,20.005
IMU_1,A,True,1, , ,True
RLAY12_2_PLUS_1,A,True, ,13.2,10.8,11.952986
ABSOLUTE_ENCODER_P5VI_1,A,True, ,5.5,4.5,4.9996656
STER_FLT_1,A,True,1, , ,1
BIOS_1,A,True,1, , ,1
STER_CUR_1,A,True,0.0, , ,0.0
P5VD_1,A,True, ,5.5,4.5,4.9960085
RIGHT_CAM_P5VB_1,A,True, ,5.5,4.5,4.9659521
RIGHT_IFM_1,A,True,1, , ,1
RLAY12_1_MINUS_1,A,True, ,0.1,0.0,0.006607535
ENCODER1_BCH_PLUS_1,A,True,1, , ,1
FRONT_CAM_P5VA_1,A,True, ,5.5,4.5,4.9812406
RIGHT_CAM_P5VB_2,A,True, ,5.5,4.5,4.9657744
P12VC_2,A,True, ,13.2,10.8,11.947728
FAN_P12VA_2,A,True, ,13.2,10.8,11.94647
EXT_LTE_MODEM__USB_5V_1A_2,A,True, ,5.5,4.5,4.9533048
P24VA_2,A,True, ,24.5,23.5,24.472734
KEY_SENSE_2,A,True,1, , ,1
RLAY24_1_PLUS_2,A,True, ,24.5,23.5,24.283573
_4_20MA_IN_2_2,A,True, ,3.2,2.4,2.7
SL_LIDAR_2,A,True,1, , ,1
