ID,Unit,Passed,Equality Limit,Upper Limit,Lower Limit,Value
P12VC_1,A,True, ,13.2,10.8,11.974419
FAN_P12VA_1,A,True, ,13.2,10.8,11.973086
ABSOLUTE_ENC_SPI_MISO_PLUS_1,A,True,1, , ,1
EXT_LTE_MODEM__USB_5V_1A_1,A,True, ,5.5,4.5,4.9533556
RLAY24_1_PLUS_1,A,True, ,24.5,23.5,24.284912
ENCODER2_BCH_PLUS_1,A,True,1, , ,1
IFM_FRONT_P24VC_1,A,True, ,24.5,23.5,24.296544
STRT_PAUSE_P3V3B_1,A,True, ,3.5,3.1,3.3215209
ENCODER1_BCH_MINUS_1,A,True,0, , ,0
ABSOLUTE_ENC_SPI_MISO_MINUS_1,A,True,0, , ,0
STER_PWMA_1,A,True, ,3.6,3.0,3.3158277
RLAY12_1_PLUS_1,A,True, ,13.2,10.8,11.956978
H_LIDAR_P12VD_1,A,True, ,13.2,10.8,11.974838
ENCODER2_ACH_PLUS_1,A,True,1, , ,1
P5VK_1,A,True, ,5.5,4.5,5.0000338
RLAY24_2_PLUS_1,A,True, ,24.5,23.5,24.283707
SERVICE_1,A,True,1, , ,1
LEFT_CAM_P5VC_1,A,True, ,5.5,4.5,4.99498
DUT_CURRENT_1,A,True, ,2.1,0.8,0.8772
P5VG_1,A,True, ,5.5,4.5,4.9999068
ENCODER2_ACH_MINUS_1,A,True,0, , ,0
TRACTION_ENCODER_P5VJ_1,A,True, ,5.5,4.5,5.0000211
SLANTED_LIDAR_P12VB_1,A,True, ,13.2,10.8,11.973581
P5VE_1,A,True, ,5.5,4.5,4.996199
IMU_GYRO_1,A,True,1, , ,True
USB_VERIFY_1,A,True, ,8.0,5.0,6
C_ANH_1,A,True, ,2.5,2.4,2.4527018
STEERING_3V_P3V3A_1,A,True, ,3.5,3.1,3.3230319
P5VF_1,A,True, ,5.5,4.5,4.9824343
RLAY24_2_MINUS_1,A,True, ,0.1,0.0,0.008298676
USB_5V_1B_1,A,True, ,5.5,4.5,4.9546
KEY_SENSE_1,A,True,1, , ,1
ABSOLUTE_ENC_SPI_CLK_PLUS_1,A,True, ,5.1,4.8,4.993398
P24VA_1,A,True, ,24.5,23.5,24.296544
STER_PWMB_1,A,True, ,3.6,3.0,3.3158411
ESTOP1_OUT_1,A,True, ,0.1,0.0,0.000423817
MASTER_POWER_OUT_1,A,True, ,3.6,3.0,3.3159746
IFM_LEFT_P24VD_1,A,True, ,24.5,23.5,24.296288
STER_ENA_1,A,True, ,3.6,3.0,3.3158144
LEFT_IFM_1,A,True,1, , ,1
STER_MTR_DIS_1,A,True, ,3.6,3.0,3.3158678
