ID,Unit,Passed,Equality Limit,Upper Limit,Lower Limit,Value
P12VC_1,A,True, ,13.2,10.8,11.974419
FAN_P12VA_1,A,True, ,13.2,10.8,11.972984
ABSOLUTE_ENC_SPI_MISO_PLUS_1,A,,1, , ,
EXT_LTE_MODEM__USB_5V_1A_1,A,True, ,5.5,4.5,4.9531779
RLAY24_1_PLUS_1,A,, ,24.5,23.5,
ENCODER2_BCH_PLUS_1,A,,1, , ,
IFM_FRONT_P24VC_1,A,True, ,24.5,23.5,24.297058
STRT_PAUSE_P3V3B_1,A,True, ,3.5,3.1,3.3216351
ENCODER1_BCH_MINUS_1,A,,0, , ,
ABSOLUTE_ENC_SPI_MISO_MINUS_1,A,,0, , ,
STER_PWMA_1,A,, ,3.6,3.0,
RLAY12_1_PLUS_1,A,, ,13.2,10.8,
H_LIDAR_P12VD_1,A,True, ,13.2,10.8,11.974279
ENCODER2_ACH_PLUS_1,A,,1, , ,
P5VK_1,A,True, ,5.5,4.5,4.9999449
RLAY24_2_PLUS_1,A,, ,24.5,23.5,
SERVICE_1,A,,1, , ,
LEFT_CAM_P5VC_1,A,True, ,5.5,4.5,4.9947514
DUT_CURRENT_1,A,True, ,2.1,0.8,0.8759
P5VG_1,A,True, ,5.5,4.5,4.9998053
ENCODER2_ACH_MINUS_1,A,,0, , ,
TRACTION_ENCODER_P5VJ_1,A,True, ,5.5,4.5,4.9998053
SLANTED_LIDAR_P12VB_1,A,True, ,13.2,10.8,11.973124
P5VE_1,A,True, ,5.5,4.5,4.9960974
IMU_GYRO_1,A,,1, , ,
USB_VERIFY_1,A,, ,8.0,5.0,
C_ANH_1,A,, ,2.5,2.4,
STEERING_3V_P3V3A_1,A,True, ,3.5,3.1,3.3231081
P5VF_1,A,True, ,5.5,4.5,4.9822311
RLAY24_2_MINUS_1,A,, ,0.1,0.0,
USB_5V_1B_1,A,True, ,5.5,4.5,4.9543334
KEY_SENSE_1,A,True, ,1.4,0.7,0.8789
ABSOLUTE_ENC_SPI_CLK_PLUS_1,A,, ,5.1,4.8,
P24VA_1,A,True, ,24.5,23.5,24.297186
STER_PWMB_1,A,, ,3.6,3.0,
ESTOP1_OUT_1,A,, ,0.1,0.0,
MASTER_POWER_OUT_1,A,, ,3.6,3.0,
IFM_LEFT_P24VD_1,A,True, ,24.5,23.5,24.297956
STER_ENA_1,A,, ,3.6,3.0,
LEFT_IFM_1,A,,1, , ,
STER_MTR_DIS_1,A,, ,3.6,3.0,
ABSOLUTE_ENC_SPI_CLK_MINUS_1,A,, ,5.1,4.8,
STEERING_P5VH_1,A,True, ,5.5,4.5,4.9997672
FRONT_IFM_1,A,,1, , ,
SWITCH_1,A,True,1, , ,1
C_ANL_1,A,, ,2.5,2.4,
RLAY24_1_MINUS_1,A,, ,0.1,0.0,
ENCODER1_ACH_PLUS_1,A,,1, , ,
_4_20MA_IN_1_1,A,, ,0.7,0.0,
ENCODER2_BCH_MINUS_1,A,,0, , ,
_4_20MA_IN_2_1,A,, ,0.7,0.0,
ENCODER1_ACH_MINUS_1,A,,0, , ,
RLAY12_2_MINUS_1,A,, ,0.1,0.0,
IFM_RIGHT_P24VB_1,A,True, ,24.5,23.5,24.297571
DUT_VOLTAGE_1,A,True, ,20.1,19.9,20.002
IMU_1,A,,1, , ,
RLAY12_2_PLUS_1,A,, ,13.2,10.8,
ABSOLUTE_ENCODER_P5VI_1,A,True, ,5.5,4.5,4.999856
STER_FLT_1,A,,1, , ,
BIOS_1,A,False,1, , ,0
STER_CUR_1,A,,0.0, , ,
P5VD_1,A,True, ,5.5,4.5,4.9960974
RIGHT_CAM_P5VB_1,A,True, ,5.5,4.5,4.9661553
RIGHT_IFM_1,A,,1, , ,
RLAY12_1_MINUS_1,A,, ,0.1,0.0,
ENCODER1_BCH_PLUS_1,A,,1, , ,
FRONT_CAM_P5VA_1,A,True, ,5.5,4.5,4.9813676
RIGHT_CAM_P5VB_2,A,True, ,5.5,4.5,4.9660537
P12VC_2,A,True, ,13.2,10.8,11.942915
FAN_P12VA_2,A,True, ,13.2,10.8,11.941594
EXT_LTE_MODEM__USB_5V_1A_2,A,True, ,5.5,4.5,4.953216
P24VA_2,A,True, ,24.5,23.5,24.479406
KEY_SENSE_2,A,True, ,1.4,0.7,1.0887
RLAY24_1_PLUS_2,A,, ,24.5,23.5,
_4_20MA_IN_2_2,A,, ,3.2,2.4,
SL_LIDAR_2,A,,1, , ,
IFM_FRONT_P24VC_2,A,True, ,24.5,23.5,24.479791
P5VF_2,A,True, ,5.5,4.5,4.9822057
STRT_PAUSE_P3V3B_2,A,True, ,3.5,3.1,3.3216097
RLAY12_1_PLUS_2,A,, ,13.2,10.8,
H_LIDAR_P12VD_2,A,True, ,13.2,10.8,11.942979
RLAY24_2_PLUS_2,A,, ,24.5,23.5,
P5VK_2,A,True, ,5.5,4.5,4.9997672
SERVICE_2,A,,1, , ,
LEFT_CAM_P5VC_2,A,True, ,5.5,4.5,4.9948657
RLAY24_2_MINUS_2,A,, ,24.5,23.5,
DUT_CURRENT_2,A,True, ,2.1,0.8,0.8789
P5VG_2,A,True, ,5.5,4.5,4.9997164
C_ANL_2,A,, ,2.5,2.4,
TRACTION_ENCODER_P5VJ_2,A,True, ,5.5,4.5,4.9998053
SLANTED_LIDAR_P12VB_2,A,True, ,13.2,10.8,11.941582
P5VE_2,A,True, ,5.5,4.5,4.996199
STEERING_3V_P3V3A_2,A,True, ,3.5,3.1,3.3231081
USB_5V_1B_2,A,True, ,5.5,4.5,4.9543334
ESTOP1_OUT_2,A,, ,0.1,0.0,
C_ANH_2,A,, ,2.5,2.4,
IFM_LEFT_P24VD_2,A,True, ,24.5,23.5,24.479791
LEFT_IFM_2,A,,1, , ,
PL_LIDAR_2,A,,1, , ,
STEERING_P5VH_2,A,True, ,5.5,4.5,4.9997545
FRONT_IFM_2,A,,1, , ,
SWITCH_2,A,,1, , ,
RLAY24_1_MINUS_2,A,, ,24.5,23.5,
_4_20MA_IN_1_2,A,, ,3.2,2.4,
RLAY12_2_MINUS_2,A,, ,13.2,10.8,
IFM_RIGHT_P24VB_2,A,True, ,24.5,23.5,24.480048
DUT_VOLTAGE_2,A,True, ,36.1,35.9,35.997
RLAY12_2_PLUS_2,A,, ,13.2,10.8,
ABSOLUTE_ENCODER_P5VI_2,A,True, ,5.5,4.5,4.9997672
STER_CUR_2,A,, ,3.5,3.1,
FRONT_CAM_P5VA_2,A,True, ,5.5,4.5,4.9813676
RLAY12_1_MINUS_2,A,, ,13.2,10.8,
RIGHT_IFM_2,A,,1, , ,
P5VD_2,A,True, ,5.5,4.5,4.9960847
P12VC_3,A,True, ,13.2,10.8,11.967892
FAN_P12VA_3,A,True, ,13.2,10.8,11.966737
EXT_LTE_MODEM__USB_5V_1A_3,A,True, ,5.5,4.5,4.9531271
P24VA_3,A,True, ,24.5,23.5,24.298983
IFM_FRONT_P24VC_3,A,True, ,24.5,23.5,24.298854
STRT_PAUSE_P3V3B_3,A,True, ,3.5,3.1,3.3215843
H_LIDAR_P12VD_3,A,True, ,13.2,10.8,11.960159
LEFT_CAM_P5VC_3,A,True, ,5.5,4.5,4.9947768
DUT_CURRENT_3,A,True, ,1.6,0.8,1.2707
P5VG_3,A,True, ,5.5,4.5,4.9997926
TRACTION_ENCODER_P5VJ_3,A,True, ,5.5,4.5,4.9998687
SLANTED_LIDAR_P12VB_3,A,True, ,13.2,10.8,11.964337
P5VE_3,A,True, ,5.5,4.5,4.9961355
STEERING_3V_P3V3A_3,A,True, ,3.5,3.1,3.3231208
USB_5V_1B_3,A,True, ,5.5,4.5,4.9542572
ESTOP1_OUT_3,A,, ,24.5,20.5,
IFM_LEFT_P24VD_3,A,True, ,24.5,23.5,24.299368
P5VF_3,A,True, ,5.5,4.5,4.9822311
STEERING_P5VH_3,A,True, ,5.5,4.5,4.999818
P5VD_3,A,True, ,5.5,4.5,4.9961355
P5VK_3,A,True, ,5.5,4.5,4.9999449
IFM_RIGHT_P24VB_3,A,True, ,24.5,23.5,24.299111
DUT_VOLTAGE_3,A,True, ,24.1,23.9,23.996
ABSOLUTE_ENCODER_P5VI_3,A,True, ,5.5,4.5,4.9998814
FRONT_CAM_P5VA_3,A,True, ,5.5,4.5,4.9812914
RIGHT_CAM_P5VB_3,A,True, ,5.5,4.5,4.9659902
ESTOP1_OUT_4,A,, ,0.1,0.0,
