ID,Unit,Passed,Equality Limit,Upper Limit,Lower Limit,Value
P12VC_1,A,True, ,13.2,10.8,11.972095
FAN_P12VA_1,A,True, ,13.2,10.8,11.970978
ABSOLUTE_ENC_SPI_MISO_PLUS_1,A,True,1, , ,1
EXT_LTE_MODEM__USB_5V_1A_1,A,True, ,5.5,4.5,4.9530001
RLAY24_1_PLUS_1,A,True, ,24.5,23.5,24.283172
ENCODER2_BCH_PLUS_1,A,True,1, , ,1
IFM_FRONT_P24VC_1,A,True, ,24.5,23.5,24.292438
STRT_PAUSE_P3V3B_1,A,True, ,3.5,3.1,3.3236541
ENCODER1_BCH_MINUS_1,A,True,0, , ,0
ABSOLUTE_ENC_SPI_MISO_MINUS_1,A,True,0, , ,0
STER_PWMA_1,A,True, ,3.6,3.0,3.3172694
RLAY12_1_PLUS_1,A,True, ,13.2,10.8,11.950851
H_LIDAR_P12VD_1,A,True, ,13.2,10.8,11.972311
ENCODER2_ACH_PLUS_1,A,True,1, , ,1
P5VK_1,A,True, ,5.5,4.5,4.9991576
RLAY24_2_PLUS_1,A,True, ,24.5,23.5,24.28036
SERVICE_1,A,True,1, , ,1
LEFT_CAM_P5VC_1,A,True, ,5.5,4.5,4.9942816
DUT_CURRENT_1,A,True, ,2.1,0.8,0.8773
P5VG_1,A,True, ,5.5,4.5,4.9990561
ENCODER2_ACH_MINUS_1,A,True,0, , ,0
TRACTION_ENCODER_P5VJ_1,A,True, ,5.5,4.5,4.9992465
SLANTED_LIDAR_P12VB_1,A,True, ,13.2,10.8,11.971003
P5VE_1,A,True, ,5.5,4.5,4.9956784
IMU_GYRO_1,A,True,1, , ,True
USB_VERIFY_1,A,True, ,8.0,5.0,6
C_ANH_1,A,True, ,2.5,2.4,2.4529687
STEERING_3V_P3V3A_1,A,True, ,3.5,3.1,3.3251652
P5VF_1,A,True, ,5.5,4.5,4.9816216
RLAY24_2_MINUS_1,A,True, ,0.1,0.0,0.007912818
USB_5V_1B_1,A,True, ,5.5,4.5,4.9541302
KEY_SENSE_1,A,True,1, , ,1
ABSOLUTE_ENC_SPI_CLK_PLUS_1,A,True, ,5.1,4.8,4.9929575
P24VA_1,A,True, ,24.5,23.5,24.291668
STER_PWMB_1,A,True, ,3.6,3.0,3.3172827
ESTOP1_OUT_1,A,True, ,0.1,0.0,0.000428745
MASTER_POWER_OUT_1,A,True, ,3.6,3.0,3.3174963
IFM_LEFT_P24VD_1,A,True, ,24.5,23.5,24.292695
STER_ENA_1,A,True, ,3.6,3.0,3.3172961
LEFT_IFM_1,A,True,1, , ,1
STER_MTR_DIS_1,A,True, ,3.6,3.0,3.3172827
ABSOLUTE_ENC_SPI_CLK_MINUS_1,A,True, ,5.1,4.8,4.993051
STEERING_P5VH_1,A,True, ,5.5,4.5,4.9991196
FRONT_IFM_1,A,True,1, , ,1
SWITCH_1,A,True,1, , ,1
C_ANL_1,A,True, ,2.5,2.4,2.4529554
RLAY24_1_MINUS_1,A,True, ,0.1,0.0,0.007774032
